unix_time,EPOCH to date,rm3100_mag_x,rm3100_mag_y,rm3100_mag_z,rm3100_cycle_count,,Mag_x_scaled,Mag_y_scaled,Mag_z_scaled,Magnetic_field_magnitude (uT)
1763817109,11/22/2025 8:11:49,-185,-4046,211,200,,,,,
1763817163,11/22/2025 8:12:43,2079,-3407,739,200,,,,,
1763817205,11/22/2025 8:13:25,550,-4020,-399,200,,,,,
1763817224,11/22/2025 8:13:44,1116,-3839,759,200,,,,,
1763817233,11/22/2025 8:13:53,269,-4043,-1,200,,,,,
1763817238,11/22/2025 8:13:58,305,-2440,-3139,200,,,,,
1763817243,11/22/2025 8:14:03,-858,-3095,2273,200,,,,,
1763817460,11/22/2025 8:17:40,-3708,658,273,200,,,,,
1763817578,11/22/2025 8:19:38,-735,-456,2163,200,,,,,
1763817660,11/22/2025 8:21:00,656,2783,1577,200,,,,,
1763817664,11/22/2025 8:21:04,423,2494,1753,200,,,,,
1763817938,11/22/2025 8:25:38,-1178,-471,2260,200,,,,,
1763817942,11/22/2025 8:25:42,-1724,-298,1940,200,,,,,
1763818139,11/22/2025 8:28:59,-2210,316,1928,200,,,,,
1763818154,11/22/2025 8:29:14,-1500,-846,2039,200,,,,,
1763818170,11/22/2025 8:29:30,-1054,146,1348,200,,,,,
1763818307,11/22/2025 8:31:47,-2253,-163,-225,200,,,,,
1763818314,11/22/2025 8:31:54,-2466,-316,-1742,200,,,,,
1763818319,11/22/2025 8:31:59,-1974,-930,-3061,200,,,,,
1763818329,11/22/2025 8:32:09,-2038,-1195,-3453,200,,,,,
1763818344,11/22/2025 8:32:24,-2280,-864,-2529,200,,,,,
1763818568,11/22/2025 8:36:08,2451,-7058,-1126,200,,,,,
1763818583,11/22/2025 8:36:23,2260,-5797,-460,200,,,,,
1763818588,11/22/2025 8:36:28,2205,-5827,-226,200,,,,,
1763818594,11/22/2025 8:36:34,2220,-6005,-246,200,,,,,
1763818603,11/22/2025 8:36:43,2178,-5929,87,200,,,,,
1763818608,11/22/2025 8:36:48,2183,-5926,101,200,,,,,
1763818624,11/22/2025 8:37:04,2188,-5932,90,200,,,,,
1763818631,11/22/2025 8:37:11,2188,-5932,101,200,,,,,
1763818636,11/22/2025 8:37:16,2187,-5922,111,200,,,,,
1763818652,11/22/2025 8:37:32,2183,-5926,126,200,,,,,
1763818747,11/22/2025 8:39:07,417,755,-2348,200,,,,,
1763818763,11/22/2025 8:39:23,-1336,-774,-2406,200,,,,,
1763818767,11/22/2025 8:39:27,-828,-944,-3424,200,,,,,
1763818772,11/22/2025 8:39:32,1210,-3967,-474,200,,,,,
1763818861,11/22/2025 8:41:01,-322,214,1679,200,,,,,
1763818869,11/22/2025 8:41:09,-296,-25,1843,200,,,,,
1763818942,11/22/2025 8:42:22,-1296,-3959,498,200,,,,,
1763818948,11/22/2025 8:42:28,-1942,-2952,-1576,200,,,,,
1763818952,11/22/2025 8:42:32,-2103,-3131,693,200,,,,,
1763818965,11/22/2025 8:42:45,-1853,-3174,-1122,200,,,,,
1763818974,11/22/2025 8:42:54,-1999,-2806,-1645,200,,,,,
1763818980,11/22/2025 8:43:00,-1899,-3121,-1276,200,,,,,
1763818990,11/22/2025 8:43:10,-1467,-3344,-1328,200,,,,,
1763818995,11/22/2025 8:43:15,-1424,-3495,-1156,200,,,,,
1763819000,11/22/2025 8:43:20,-1063,-3721,-667,200,,,,,
1763819009,11/22/2025 8:43:29,-2145,-3074,-556,200,,,,,
1763819015,11/22/2025 8:43:35,-2247,-3197,-332,200,,,,,
1763819023,11/22/2025 8:43:43,-2850,-2641,15,200,,,,,
1763819029,11/22/2025 8:43:49,-527,1614,3308,200,,,,,
1763819034,11/22/2025 8:43:54,-3099,-2060,863,200,,,,,
1763819144,11/22/2025 8:45:44,-3254,1000,1386,200,,,,,
